epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1047.82,1.39391,1.54347,1.25652,0.01666,0.85,0.43476,0.24881,1.8771,3.13648,1.76402,0.000511468,0.000511468,0.000511468
59,1066.12,1.40401,1.35528,1.17677,0.01666,0.85,0.43476,0.24881,1.8771,3.13648,1.76402,0.000516852,0.000516852,0.000516852
60,1084.2,1.27553,1.26209,1.11287,0.59229,0.24807,0.52859,0.26983,1.81745,3.08118,1.7963,0.000522113,0.000522113,0.000522113
61,1102.16,1.36541,1.44365,1.21908,0.59229,0.24807,0.52859,0.26983,1.81745,3.08118,1.7963,0.00052725,0.00052725,0.00052725
62,1120.2,1.39631,1.33066,1.14492,0.59229,0.24807,0.52859,0.26983,1.81745,3.08118,1.7963,0.000532263,0.000532263,0.000532263
63,1138.25,1.29814,1.34172,1.19641,0.91359,0.125,0.51537,0.25357,1.77481,3.06304,1.78989,0.000537153,0.000537153,0.000537153
64,1156.13,1.39648,1.27732,1.11566,0.91359,0.125,0.51537,0.25357,1.77481,3.06304,1.78989,0.000541918,0.000541918,0.000541918
65,1173.96,1.36653,1.35409,1.17379,0.91359,0.125,0.51537,0.25357,1.77481,3.06304,1.78989,0.00054656,0.00054656,0.00054656
66,1191.94,1.35921,1.29319,1.13814,0.90522,0.10783,0.45731,0.20819,1.94635,3.09289,1.92014,0.000551078,0.000551078,0.000551078
67,1209.87,1.21011,1.24059,1.0995,0.90522,0.10783,0.45731,0.20819,1.94635,3.09289,1.92014,0.000555472,0.000555472,0.000555472
68,1227.71,1.37427,1.24019,1.12438,0.90522,0.10783,0.45731,0.20819,1.94635,3.09289,1.92014,0.000559743,0.000559743,0.000559743
69,1245.79,1.41442,1.38842,1.17991,0.83603,0.2466,0.42523,0.20951,1.92888,3.11472,1.91941,0.00056389,0.00056389,0.00056389
70,1263.98,1.35539,1.36891,1.20994,0.83603,0.2466,0.42523,0.20951,1.92888,3.11472,1.91941,0.000567913,0.000567913,0.000567913
71,1281.92,1.30504,1.2278,1.12687,0.83603,0.2466,0.42523,0.20951,1.92888,3.11472,1.91941,0.000571813,0.000571813,0.000571813
72,1299.9,1.38672,1.23312,1.15186,0.76646,0.24788,0.36391,0.2004,1.85611,3.17644,1.81656,0.000575588,0.000575588,0.000575588
73,1317.85,1.36642,1.22759,1.14145,0.76646,0.24788,0.36391,0.2004,1.85611,3.17644,1.81656,0.00057924,0.00057924,0.00057924
74,1335.66,1.24223,1.26775,1.16155,0.76646,0.24788,0.36391,0.2004,1.85611,3.17644,1.81656,0.000582768,0.000582768,0.000582768
75,1353.71,1.26207,1.2563,1.13069,0.60204,0.39035,0.4588,0.22564,1.72077,3.0834,1.73099,0.000586173,0.000586173,0.000586173
76,1371.7,1.27555,1.17233,1.10487,0.60204,0.39035,0.4588,0.22564,1.72077,3.0834,1.73099,0.000589453,0.000589453,0.000589453
